BCI-P300 paradigm, Farwell and Donchin (1988),  12, 95.0
BCI-P300 paradigm, Jin et al. (2010), 14.8, 92.9
BCI-P300 paradigm, Jin et al. (2012), 27.1, 94.8
BCI-P300 paradigm, Pires et al. (2012), 26.11, 89.9
BCI-MI paradigm, Blankertz et al. (2007), 7.6, NaN
BCI-MI paradigm, Varsehi and Firoozabadi (2021),  NaN,  93.03
BCI-SSVEP paradigm, Volosyak et al. (2009), 22.6, 92
BCI-SSVEP paradigm, Sun et al. (2022), 265.74, 76.58
BCI-SSVEP paradigm, Jiang et al. (2022), 64.35, 94.9
BCI-SSVEP paradigm, Bai et al. (2023), 28.64, 94.29
BCI-SSVEP paradigm, Zhang Z. et al. (2023), 117.05, 90.18
BCI-SSVEP paradigm, Zhang J. et al. (2023), 108.63 , 94.75
Hybrid speller, Mannan et al. (2020), 184.06, 90.35
Hybrid speller, Lin et al. (2016), 90.9,  85.8
Hybrid speller, Yao et al. (2018), 360.7, 95.2
