x, y
1.29237, -3.88605
1.30085, -6.47225
1.31356, -3.88605
1.3178, -1.29984
1.3178, 1.28637
1.32203, 3.87258
1.33051, 6.45878
1.64407, 7.32085
1.64407, 4.73464
1.63983, 2.14844
1.63136, -0.43777
1.62712, -3.02398
5.33475, -3.45501
5.33475, -0.8688
5.32203, 1.7174
5.32203, 4.30361
5.32203, 6.88982
5.34322, 1.7174
5.35169, 4.30361
5.36017, 6.88982
3.01695, 2.57947
3.00847, -0.00673
3.01271, -2.59294
1.28814, -2.59294
2.40254, -1.73087
2.39831, 0.85533
2.39407, 3.44154
2.38136, 6.02775
2.41102, 6.02775
2.41525, 8.61395
2.42373, 11.20016
1.59746, 3.44154
1.61017, 0.85533
1.2839, -0.43777
1.47458, 4.30361
1.47881, 1.7174
1.49576, 4.30361
1.50424, 6.88982
1.52119, 9.47602
1.52542, 12.06223
1.53814, 14.64844
1.54237, 17.23464
1.54237, 19.82085
0.33898, 9.90706
0.34322, 7.32085
0.34746, 4.73464
0.35593, 2.14844
0.36017, 7.32085
1.17797, 5.59671
1.18644, 3.01051
1.21186, 5.59671
1.23729, 7.75189
1.24153, 10.33809
1.24153, 12.9243
1.24153, 15.51051
1.2839, 0.85533
1.2839, 3.44154
1.27966, 6.02775
1.27119, 8.61395
1.72458, 0.85533
1.72034, 3.44154
2.52542, 5.59671
2.51695, 3.01051
0.68644, 14.64844
0.68644, 12.06223
0.6822, 9.47602
0.67797, 6.88982
0.66525, 4.30361
1.82203, 3.87258
1.80932, 6.45878
1.80508, 9.04499
1.80508, 11.6312
1.80508, 14.2174
1.83051, 6.45878
1.84322, 9.04499
3.01695, 3.87258
3.02966, 6.45878
0.98729, 8.61395
0.99576, 6.02775
0.21186, 11.20016
0.21186, 8.61395
0.22458, 6.02775
0.23729, 8.61395
0.24576, 11.20016
0.27119, 12.06223
0.28814, 14.64844
0.28814, 17.23464
0.28814, 19.82085
2.99576, 5.16568
0.00847, 10.33809
0.01695, 7.75189
0.0339, 10.33809
1.47458, 6.88982
2.04661, 7.32085
1.99576, 19.82085
1.99576, 17.23464
1.99153, 14.64844
1.98729, 12.06223
1.9661, 9.47602
1.95339, 6.88982
1.92797, 7.75189
2.52542, 6.45878
0.64831, 6.88982
0.63559, 9.47602
0.63136, 12.06223
0.63136, 14.64844
0.77966, 11.20016
0.77119, 8.61395
1.17373, 7.32085
1.16949, 9.90706
1.16949, 12.49327
1.16949, 15.07947
1.16949, 17.66568
1.16949, 20.25189
1.14831, 17.66568
1.14831, 15.07947
1.14407, 12.49327
1.13983, 9.90706
1.11441, 7.75189
1.16102, 22.83809
1.16525, 25.4243
1.58051, 6.88982
1.75847, 17.66568
1.75847, 15.07947
1.75424, 12.49327
1.75424, 9.90706
1.73729, 7.32085
3.59322, 20.25189
3.58898, 17.66568
3.58898, 15.07947
3.58475, 12.49327
3.57627, 9.90706
3.57203, 7.32085
3.55085, 11.20016
3.55085, 13.78637
0.12288, 21.11395
0.13559, 18.52775
0.13983, 15.94154
0.14831, 13.35533
0.16949, 10.76913
0.1822, 8.18292
0.18644, 13.35533
1.70339, 7.32085
1.70339, 9.90706
1.69492, 12.49327
1.69492, 15.07947
1.69068, 17.66568
2.30085, 14.64844
2.27542, 13.78637
2.26695, 11.20016
2.25424, 8.61395
2.31356, 17.23464
2.3178, 19.82085
-0.05508, 7.75189
0.38983, 7.75189
1.41949, 7.75189
1.41949, 10.33809
1.40678, 12.9243
1.40678, 15.51051
1.40678, 18.09671
1.4322, 12.9243
1.43644, 15.51051
2.50424, 7.75189
3.54237, 8.61395
2.99153, 8.61395
2.98305, 11.20016
2.98305, 13.78637
2.97881, 16.37258
4.34746, 18.95878
4.34746, 21.54499
4.32627, 18.95878
4.32203, 16.37258
4.31356, 13.78637
4.31356, 11.20016
4.29661, 8.61395
4.27119, 9.90706
4.26271, 12.49327
4.25847, 15.07947
4.25847, 17.66568
4.25847, 20.25189
4.23305, 19.82085
4.23305, 17.23464
4.34322, 24.1312
4.24153, 22.83809
4.20763, 21.54499
4.1822, 22.83809
4.17797, 25.4243
4.16949, 28.01051
-0.01695, 9.90706
0.32203, 8.61395
0.33051, 11.20016
0.33475, 13.78637
0.36017, 9.04499
0.86441, 14.2174
0.87712, 11.6312
0.90254, 10.76913
0.91102, 13.35533
