x, y
-3.2625, 819.31516
-3.2625, 755.48537
-3.275, 691.65559
-3.35, 659.74069
-3.425, 723.57048
-3.45, 787.40027
-3.4375, 851.23005
-3.4375, 915.05984
-3.4375, 978.88963
-3.325, 595.9109
-3.3, 532.08112
-3.2625, 468.25133
-3.2375, 404.42154
-3.225, 340.59176
-3.225, 276.76197
-3.2125, 212.93218
-3.2, 149.10239
-3.1875, 85.27261
-3.1875, 21.44282
-3.1875, -42.38697
-3.1875, -106.21676
-3.15, -170.04654
-3.0875, -106.21676
-3.075, -42.38697
-3.05, 21.44282
-3.025, 85.27261
-3.0375, 149.10239
-3.0625, 212.93218
-3.5125, 723.57048
-3.5625, 787.40027
-3.5625, 851.23005
-3.5625, 915.05984
-3.5625, 978.88963
-3.1375, -233.87633
-3.125, -297.70612
-2.975, 0.16622
-2.9625, -63.66356
-2.9625, -127.49335
-2.9625, -191.32314
-2.9625, -255.15293
-2.95, -318.98271
-2.95, -382.8125
-2.9375, -446.64229
-2.9375, -510.47207
-2.9375, -574.30186
-2.9375, -638.13165
-2.925, -701.96144
-2.875, -765.79122
-2.8, -787.06782
-2.725, -723.23803
-2.675, -659.40824
-2.65, -595.57846
-2.6125, -531.74867
-2.6125, -467.91888
-3.55, 659.74069
-3.55, 595.9109
-3.5625, 532.08112
-3.5625, 468.25133
-3.5625, 404.42154
-3.6, 340.59176
-3.6, 276.76197
-3.6, 212.93218
-3.6125, 149.10239
-3.625, 85.27261
-3.625, 21.44282
-3.625, -42.38697
-3.625, -106.21676
-3.65, -170.04654
-3.675, -233.87633
-3.725, -297.70612
-3.8, -361.5359
-3.875, -414.72739
-3.95, -446.64229
-4.025, -489.19548
-4.1, -542.38697
-4.175, -584.94016
-4.2375, -648.76995
-4.3125, -691.32314
-4.3875, -691.32314
-4.4125, -627.49335
-2.5375, -574.30186
-2.4625, -510.47207
-2.3875, -446.64229
-2.3125, -414.72739
-2.2375, -382.8125
-2.1625, -361.5359
-2.0875, -340.25931
-2.025, -276.42952
-1.95, -244.51463
-1.875, -212.59973
-1.8, -201.96144
-1.725, -148.76995
-1.6875, -84.94016
-1.6625, -21.11037
-1.65, 42.71941
-1.65, 106.5492
-1.6375, 170.37899
-1.6375, 234.20878
-1.625, 298.03856
-1.625, 361.86835
-1.625, 425.69814
-1.625, 489.52793
-1.6125, 553.35771
-1.6125, 617.1875
-1.6125, 681.01729
-1.6125, 744.84707
-1.5875, 808.67686
-1.5625, 872.50665
-1.4875, 925.69814
-1.5, 989.52793
-1.5375, 1053.35771
-1.55, 1117.1875
-1.5625, 1181.01729
-1.5625, 1244.84707
-1.5625, 1308.67686
-1.5625, 1372.50665
-1.5625, 1436.33644
-1.575, 1500.16622
-1.575, 1563.99601
-1.575, 1627.8258
-3.5375, 276.76197
-4.4625, -733.87633
-4.525, -797.70612
-4.6, -829.62101
-4.6375, -765.79122
-4.65, -701.96144
-4.6625, -638.13165
-4.6875, -574.30186
-4.6875, -510.47207
-4.6875, -446.64229
-4.6875, -382.8125
-4.6875, -318.98271
-4.7, -255.15293
-4.7, -191.32314
-4.7125, -127.49335
-4.7125, -63.66356
-4.7125, 0.16622
-4.7125, 63.99601
-4.725, 127.8258
-4.8, 170.37899
-4.8125, 234.20878
-4.7875, 298.03856
-4.8125, 361.86835
-4.7875, 425.69814
-1.4375, 861.86835
-1.4125, 798.03856
-1.4125, 734.20878
-1.4125, 670.37899
-1.4, 606.5492
-1.3625, 542.71941
-1.3625, 478.88963
-1.35, 415.05984
-1.325, 351.23005
-1.25, 298.03856
-1.2375, 361.86835
-1.2375, 425.69814
-1.2375, 489.52793
-1.2375, 553.35771
-4.5875, -893.4508
-4.8375, 106.5492
-4.825, 42.71941
-4.825, -21.11037
-4.8875, 266.12367
-4.9625, 319.31516
-5, 383.14495
-5.025, 446.97473
-5.0875, 510.80452
-5.1125, 574.63431
-5.125, 638.4641
-5.1625, 702.29388
-5.2375, 744.84707
-5.2625, 808.67686
-5.275, 872.50665
-5.325, 936.33644
-5.325, 1000.16622
-5.325, 1063.99601
-5.325, 1127.8258
-5.3125, 1191.65559
-5.3125, 1255.48537
-1.1875, 234.20878
-1.125, 170.37899
-1.1125, 106.5492
-1.1, 42.71941
-1.0875, -21.11037
-1.0875, -84.94016
-1.075, -148.76995
-1.075, -212.59973
-1.0625, -276.42952
-1.0625, -340.25931
-1.05, -404.0891
-1.05, -467.91888
-1.0375, -531.74867
-1.025, -595.57846
-1.025, -659.40824
-1, -723.23803
-0.9625, -787.06782
-0.8875, -808.34441
-0.8125, -755.15293
-0.7625, -691.32314
