x, y
-0.30326, 1011.0394
-0.30543, 1076.25679
-0.30978, 1141.47418
-0.31196, 1206.69158
-0.31413, 1271.90897
-0.31413, 1337.12636
-0.29891, 1141.47418
-0.29891, 1206.69158
-0.32065, 1261.0394
-0.32283, 1195.82201
-0.325, 1130.60462
-0.33152, 1141.47418
-0.33587, 1206.69158
-0.3337, 1271.90897
-0.3337, 1337.12636
-0.3337, 1402.34375
-0.29348, 1076.25679
-0.28696, 1097.99592
-0.28261, 1163.21332
-0.27717, 1228.43071
-0.27935, 1293.6481
-0.32717, 1065.38723
-0.33804, 1108.86549
-0.34022, 1043.6481
-0.33913, 978.43071
-0.34239, 1239.30027
-0.34565, 1304.51766
-0.34674, 1369.73505
-0.34565, 1434.95245
-0.34565, 1500.16984
-0.27609, 1152.34375
-0.27609, 1087.12636
-0.275, 1021.90897
-0.275, 956.69158
-0.27065, 1271.90897
-0.26413, 1282.77853
-0.25761, 1347.99592
-0.25761, 1413.21332
-0.25652, 1478.43071
-0.25543, 1543.6481
-0.25217, 1608.86549
-0.24565, 1663.21332
-0.24891, 1728.43071
-0.24783, 1793.6481
-0.35, 1239.30027
-0.35109, 1174.08288
-0.35109, 1108.86549
-0.35217, 1043.6481
-0.35435, 978.43071
-0.3587, 1043.6481
-0.35978, 1108.86549
-0.36196, 1174.08288
-0.26196, 1217.56114
-0.26087, 1152.34375
-0.26087, 1087.12636
-0.24565, 1597.99592
-0.24457, 1532.77853
-0.23913, 1695.82201
-0.23696, 1761.0394
-0.23478, 1826.25679
-0.23043, 1891.47418
-0.35543, 913.21332
-0.35435, 847.99592
-0.35435, 782.77853
-0.35435, 717.56114
-0.3663, 1108.86549
-0.37283, 1076.25679
-0.37935, 1065.38723
-0.3837, 1130.60462
-0.22826, 1815.38723
-0.22826, 1750.16984
-0.22717, 1684.95245
-0.22717, 1619.73505
-0.22609, 1554.51766
-0.21957, 1532.77853
-0.21522, 1597.99592
-0.21413, 1663.21332
-0.21413, 1728.43071
-0.21413, 1793.6481
-0.3837, 1000.16984
-0.38587, 934.95245
-0.38696, 869.73505
-0.38804, 804.51766
