x, y
-1.46285, -94.40104
-1.46285, -111.06771
-1.4521, -108.28993
-1.4521, -91.62326
-1.4521, -74.9566
-1.4521, -58.28993
-1.4521, -41.62326
-1.4521, -24.9566
-1.4521, -8.28993
-1.4521, 8.37674
-1.4521, 25.0434
-1.4521, 41.71007
-1.4521, 58.37674
-1.4521, 75.0434
-1.4521, 91.71007
-1.45031, 108.37674
-1.44852, 125.0434
-1.44852, 141.71007
-1.44852, 158.37674
-1.44852, 175.0434
-1.44673, 191.71007
-1.44673, 208.37674
-1.44673, 225.0434
-1.44673, 241.71007
-1.44494, 258.37674
-1.44494, 275.0434
-1.44494, 291.71007
-1.44494, 308.37674
-1.44315, 325.0434
-1.44136, 341.71007
-1.43957, 358.37674
-1.43599, 375.0434
-1.43599, 391.71007
-1.43599, 408.37674
-1.43599, 425.0434
-1.46106, -127.73438
-1.46106, -144.40104
-1.47001, -161.06771
-1.47717, -177.73438
-1.48791, -180.51215
-1.49329, -163.84549
-1.49329, -147.17882
-1.49508, -130.51215
-1.50224, -113.84549
-1.50582, -97.17882
-1.50761, -80.51215
-1.50761, -63.84549
-1.5094, -47.17882
-1.51119, -30.51215
-1.52014, -13.84549
-1.52193, 2.82118
-1.52372, 19.48785
-1.52372, 36.15451
-1.52551, 52.82118
-1.52551, 69.48785
-1.52551, 86.15451
-1.52731, 102.82118
-1.5291, 119.48785
-1.53447, 136.15451
-1.53626, 152.82118
-1.53984, 169.48785
-1.54163, 186.15451
-1.54163, 202.82118
-1.54521, 219.48785
-1.547, 236.15451
-1.547, 252.82118
-1.547, 269.48785
-1.547, 286.15451
-1.42883, 355.59896
-1.42704, 338.93229
-1.42525, 322.26563
-1.42167, 305.59896
-1.42167, 288.93229
-1.42167, 272.26563
-1.42167, 255.59896
-1.41987, 238.93229
-1.41987, 222.26563
-1.41987, 205.59896
-1.41987, 188.93229
-1.41987, 172.26563
-1.41808, 155.59896
-1.41629, 138.93229
-1.4145, 122.26563
